University of Warwick | Leamington | Sydenham,,,,,,,,,,,,,,,,,,,,,,,
Mondays to Fridays ,,Col ,Chol ,,,Col ,Chol ,,,,,,,Col ,,Col,,,,,,,
WMG Academy ,,,,,,816,,,,,,,,1638,,1708,,,,,,,
University of Warwick  Interchange (UW1) ,,,,,,,818,858,928,58,28,1558,1628,,1658,,1728,1759,1829,1903,2006,2103,2226
University of Warwick  The Gatehouse  (UR1) ,,,,,,821,821,901,931,1,31,1601,1631,1642,1701,1712,1731,1802,1832,1906,2009,2106,2229
University of Warwick  Humanities (UR3) ,,,,,,823,823,903,933,3,33,1603,1633,1644,1703,1714,1733,1804,1834,1908,2011,2108,2231
University of Warwick  Interchange UW2 ,,,,,754,827,827,908,938,8,38,1608,1638,1648,1708,1718,1738,1808,1838,1912,2015,2112,2235
Leamington Upper Parade Stand ,645,710,715,745,819,849,849,931,1001,31,1,1631,1701,1711,1731,1741,1801,1829,1859,1933,2036,2133,2256
Leamington Parish Church ,650,715,720,750,824,854,854,936,1006,36,6,1636,1706,1716,1736,1746,1806,1834,1904,1938,2044,2141,2301
Sydenham Gainsborough Dr ,657,722,727,757,831,901,901,943,1013,43,13,1643,1713,1723,1743,1753,1813,1841,1911,1943,2049,2146,2306
St Helens Road ,702,727,732,802,836,906,906,948,1018,48,18,1648,1718,1728,1748,1758,1818,1846,1916,1948,2054,2151,2311
[BREAK]
Saturdays ,U1 ,U1 ,U1 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U2 ,U1 ,U1 ,U1 ,U1 ,U1,,,,,,,
University of Warwick Interchange (UW1) ,,,,811,841,911,941,11,41,1711,1741,1811,1906,2009,2109,2236,,,,,,,
University of Warwick The Gatehouse  (UR1) ,,,,813,843,913,943,13,43,1713,1743,1813,1908,2010,2110,2240,,,,,,,
University of Warwick Humanities (UR3) ,,,,815,845,915,945,15,45,1715,1745,1815,1910,2012,2112,2242,,,,,,,
University of Warwick Interchange UW2 ,,,,818,848,918,948,18,48,1718,1748,1818,1913,2015,2115,2245,,,,,,,
Albion Street Wyandotte ,,,,829,859,929,959,29,59,1729,1759,,,,,,,,,,,,
Kenilworth Shops Stand B ,,,,832,902,932,1002,32,2,1732,1802,,,,,,,,,,,,
Leamington Upper Parade ,715,745,815,845,915,945,1015,45,15,1745,1815,1837,1929,2031,2131,2301,,,,,,,
Leamington Parish Church ,720,750,820,850,920,950,1020,50,20,1750,1820,1842,1934,2034,2134,2304,,,,,,,
Sydenham Gainsborough Dr ,727,757,827,857,927,957,1027,57,27,1757,1827,1849,1939,2039,2139,2309,,,,,,,
St Helens Road ,732,802,832,902,932,1002,1032,2,32,1802,1832,1854,1944,2044,2144,2314,,,,,,,
[BREAK]
Sundays ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17 ,U17
Coventry Sainsbury's Stop AB ,,,,,858,,,958,1018,1038,1058,18,38,58,1618,1638,1658,1718,1738,1758,1828,1858,1928
Coventry Rail Station Bridge ,,,,,904,,,1004,1024,1044,1104,24,44,4,1624,1644,1704,1724,1744,1804,1834,1904,1934
War Memorial Park Park and Ride ,,,,,909,,,1009,1029,1049,1109,29,49,9,1629,1649,1709,1729,1749,1809,1839,1909,1939
Coventry Kenpass Highway ,,,,,912,,,1012,1032,1052,1112,32,52,12,1632,1652,1712,1732,1752,1812,1842,1912,1942
The Gatehouse  UR1 ,,,,,917,,,1017,1037,1057,1117,37,57,17,1637,1657,1717,1737,1757,1817,1847,1917,1947
University of Warwick UR3 ,,,,,918,938,958,1018,1038,1058,1118,38,58,18,1638,1658,1718,1738,1758,1818,1848,1918,1948
University of Warwick  UW2 ,,,,,920,940,1000,1020,1040,1100,1120,40,0,20,1640,1700,1720,1740,1800,1820,1850,1920,1950
Albion Street Wyandotte ,,,,,933,953,1013,1033,1053,1113,1133,53,13,33,1653,1713,1733,1753,1813,1833,1903,1933,2003
Kenilworth Shops Stand B ,,,,,936,956,1016,1036,1056,1116,1136,56,16,36,1656,1716,1736,1756,1816,1836,1906,1936,2006
Leamington Upper Parade Stand J ,830,850,910,930,950,1010,1030,1050,1110,1130,1150,10,30,50,1710,1730,1750,1810,1830,1850,1920,1950,2020
Leamington Parish Church ,835,855,915,935,955,1015,1035,1055,1115,1135,1155,15,35,55,1715,1735,1755,1815,1835,1855,1925,1955,
Sydenham Gainsborough Dr ,840,900,920,940,1000,1020,1040,1100,1120,1140,1200,20,40,0,1720,1740,1800,1820,1840,1900,1930,2000,
